frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
11,  0,  0.370,  0.98,  1, 0.00, 0.00, 0.03, 0.00, 0.00, 1.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.16, 0.00, 0.00, 0.09, 0.13, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.407,  0.98,  1, 0.00, 0.00, 0.03, 0.00, 0.00, 1.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0.15, 0.00, 0.01, 0.07, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.444,  0.98,  1, 0.00, 0.00, 0.03, 0.00, 0.00, 1.33, 0.00, 0.00, 0.08, 0.00, 0.00, 0.09, 0.22, 0.19, 0.03, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14,  0,  0.481,  0.98,  1, 0.00, 0.00, 0.01, 0.00, 0.00, 1.39, 0.00, 0.00, 0.21, 0.00, 0.00, 0.02, 0.49, 0.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15,  0,  0.519,  0.98,  1, 0.00, 0.00, 0.02, 0.00, 0.00, 1.40, 0.00, 0.00, 0.40, 0.00, 0.00, 0.00, 0.79, 0.47, 0.06, 0.04, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
16,  0,  0.556,  0.98,  1, 0.00, 0.00, 0.05, 0.00, 0.00, 1.41, 0.00, 0.00, 0.54, 0.00, 0.00, 0.00, 0.71, 0.39, 0.28, 0.06, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.593,  0.98,  1, 0.00, 0.00, 0.06, 0.00, 0.00, 1.38, 0.00, 0.00, 0.64, 0.00, 0.00, 0.00, 0.64, 0.36, 0.50, 0.06, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.630,  0.98,  1, 0.00, 0.00, 0.05, 0.00, 0.00, 1.39, 0.00, 0.00, 0.64, 0.00, 0.00, 0.00, 0.64, 0.43, 0.44, 0.02, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.667,  0.98,  1, 0.00, 0.00, 0.01, 0.00, 0.00, 1.42, 0.00, 0.00, 0.62, 0.00, 0.00, 0.02, 0.88, 0.52, 0.22, 0.00, 0.19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.704,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.40, 0.00, 0.00, 0.58, 0.06, 0.00, 0.02, 1.12, 0.66, 0.00, 0.00, 0.31, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.741,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.24, 0.00, 0.00, 0.64, 0.11, 0.00, 0.05, 1.31, 0.82, 0.00, 0.00, 0.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.778,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.23, 0.00, 0.00, 0.78, 0.23, 0.00, 0.12, 1.38, 1.04, 0.00, 0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0,  0.815,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.18, 0.00, 0.00, 1.02, 0.28, 0.00, 0.17, 1.43, 1.21, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
24,  0,  0.852,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.22, 0.00, 0.00, 1.21, 0.32, 0.00, 0.21, 1.38, 1.33, 0.00, 0.00, 0.29, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
25,  0,  0.889,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.26, 0.00, 0.00, 1.33, 0.30, 0.00, 0.19, 1.35, 1.36, 0.00, 0.00, 0.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
26,  0,  0.926,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.01, 1.41, 0.00, 0.00, 1.37, 0.29, 0.00, 0.19, 1.24, 1.33, 0.00, 0.00, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
27,  0,  0.963,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.01, 1.66, 0.00, 0.00, 1.36, 0.32, 0.00, 0.14, 1.15, 1.29, 0.00, 0.00, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
28,  0,  1.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.03, 1.68, 0.00, 0.00, 1.35, 0.33, 0.00, 0.12, 1.10, 1.29, 0.00, 0.00, 0.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
29,  0,  1.037,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.01, 1.59, 0.00, 0.00, 1.27, 0.22, 0.00, 0.13, 1.01, 1.23, 0.00, 0.00, 0.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
30,  0,  1.074,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.01, 1.54, 0.00, 0.00, 1.21, 0.15, 0.00, 0.22, 0.88, 1.18, 0.00, 0.00, 0.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
31,  0,  1.111,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.61, 0.00, 0.00, 1.14, 0.04, 0.00, 0.28, 0.71, 1.10, 0.00, 0.00, 0.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
32,  0,  1.148,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.72, 0.00, 0.00, 1.04, 0.04, 0.00, 0.30, 0.64, 1.02, 0.00, 0.00, 0.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
33,  0,  1.185,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.69, 0.00, 0.00, 0.89, 0.00, 0.00, 0.19, 0.65, 0.84, 0.00, 0.00, 0.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
34,  0,  1.222,  0.98,  1, 0.00, 0.00, 0.01, 0.00, 0.00, 1.67, 0.00, 0.00, 0.62, 0.00, 0.00, 0.11, 0.65, 0.56, 0.00, 0.00, 0.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
35,  0,  1.259,  0.98,  1, 0.00, 0.00, 0.05, 0.00, 0.00, 1.58, 0.01, 0.00, 0.40, 0.00, 0.00, 0.03, 0.55, 0.31, 0.03, 0.01, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
36,  0,  1.296,  0.98,  1, 0.00, 0.00, 0.09, 0.00, 0.00, 1.57, 0.01, 0.00, 0.27, 0.00, 0.00, 0.02, 0.34, 0.17, 0.18, 0.01, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
37,  0,  1.333,  0.98,  1, 0.00, 0.00, 0.09, 0.00, 0.00, 1.51, 0.01, 0.01, 0.22, 0.00, 0.00, 0.00, 0.18, 0.09, 0.45, 0.01, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
38,  0,  1.370,  0.98,  1, 0.00, 0.00, 0.10, 0.00, 0.00, 1.61, 0.00, 0.15, 0.27, 0.00, 0.00, 0.00, 0.05, 0.05, 1.01, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
39,  0,  1.407,  0.98,  1, 0.00, 0.00, 0.07, 0.00, 0.00, 1.53, 0.00, 0.15, 0.32, 0.00, 0.00, 0.00, 0.16, 0.08, 0.92, 0.53, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
40,  0,  1.444,  0.98,  1, 0.00, 0.00, 0.05, 0.00, 0.00, 1.56, 0.00, 0.13, 0.47, 0.00, 0.00, 0.00, 0.35, 0.39, 0.65, 0.56, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
41,  0,  1.481,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.46, 0.00, 0.00, 0.60, 0.00, 0.00, 0.06, 0.61, 0.68, 0.05, 0.23, 0.05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
42,  0,  1.519,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 1.54, 0.00, 0.00, 0.67, 0.00, 0.00, 0.06, 0.66, 0.81, 0.00, 0.14, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
43,  0,  1.556,  0.98,  1, 0.00, 0.00, 0.02, 0.00, 0.00, 1.51, 0.00, 0.00, 0.68, 0.00, 0.00, 0.06, 0.59, 0.64, 0.18, 0.23, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
44,  0,  1.593,  0.98,  1, 0.00, 0.00, 0.03, 0.00, 0.00, 1.55, 0.00, 0.04, 0.63, 0.00, 0.00, 0.00, 0.37, 0.42, 0.50, 0.35, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
45,  0,  1.630,  0.98,  1, 0.00, 0.00, 0.04, 0.00, 0.00, 1.62, 0.00, 0.07, 0.55, 0.00, 0.00, 0.00, 0.23, 0.24, 0.72, 0.31, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
